Protocol,Stage,Region,Count,Total_Waves,Percentage
proto1,pre,lingual R,8,14,57.14285714285714
proto1,pre,precentral R,13,14,92.85714285714286
proto1,pre,superiortemporal R,13,14,92.85714285714286
proto1,pre,middletemporal R,11,14,78.57142857142857
proto1,pre,parstriangularis R,7,14,50.0
proto1,pre,rostralanteriorcingulate R,6,14,42.857142857142854
proto1,pre,postcentral R,12,14,85.71428571428571
proto1,pre,superiorparietal L,5,14,35.714285714285715
proto1,pre,inferiortemporal R,8,14,57.14285714285714
proto1,pre,lingual L,7,14,50.0
proto1,pre,lateraloccipital L,10,14,71.42857142857143
proto1,pre,rostralmiddlefrontal R,11,14,78.57142857142857
proto1,pre,superiorfrontal L,14,14,100.0
proto1,pre,pericalcarine L,2,14,14.285714285714285
proto1,pre,lateralorbitofrontal R,10,14,71.42857142857143
proto1,pre,rostralmiddlefrontal L,12,14,85.71428571428571
proto1,pre,precentral L,11,14,78.57142857142857
proto1,pre,parsopercularis R,8,14,57.14285714285714
proto1,pre,postcentral L,10,14,71.42857142857143
proto1,pre,insula R,8,14,57.14285714285714
proto1,pre,middletemporal L,11,14,78.57142857142857
proto1,pre,superiorfrontal R,14,14,100.0
proto1,pre,precuneus R,4,14,28.57142857142857
proto1,pre,lateraloccipital R,8,14,57.14285714285714
proto1,pre,inferiorparietal L,7,14,50.0
proto1,pre,fusiform L,9,14,64.28571428571429
proto1,pre,inferiortemporal L,11,14,78.57142857142857
proto1,pre,supramarginal R,6,14,42.857142857142854
proto1,pre,paracentral L,6,14,42.857142857142854
proto1,pre,lateralorbitofrontal L,11,14,78.57142857142857
proto1,pre,parsorbitalis R,3,14,21.428571428571427
proto1,pre,caudalanteriorcingulate R,5,14,35.714285714285715
proto1,pre,medialorbitofrontal R,6,14,42.857142857142854
proto1,pre,medialorbitofrontal L,8,14,57.14285714285714
proto1,pre,pericalcarine R,2,14,14.285714285714285
proto1,pre,parstriangularis L,10,14,71.42857142857143
proto1,pre,inferiorparietal R,8,14,57.14285714285714
proto1,pre,rostralanteriorcingulate L,4,14,28.57142857142857
proto1,pre,caudalmiddlefrontal L,8,14,57.14285714285714
proto1,pre,caudalanteriorcingulate L,6,14,42.857142857142854
proto1,pre,entorhinal L,3,14,21.428571428571427
proto1,pre,caudalmiddlefrontal R,9,14,64.28571428571429
proto1,pre,precuneus L,4,14,28.57142857142857
proto1,pre,cuneus L,5,14,35.714285714285715
proto1,pre,parsopercularis L,8,14,57.14285714285714
proto1,pre,posteriorcingulate R,2,14,14.285714285714285
proto1,pre,parsorbitalis L,6,14,42.857142857142854
proto1,pre,superiortemporal L,9,14,64.28571428571429
proto1,pre,superiorparietal R,5,14,35.714285714285715
proto1,pre,posteriorcingulate L,2,14,14.285714285714285
proto1,pre,insula L,4,14,28.57142857142857
proto1,pre,fusiform R,9,14,64.28571428571429
proto1,pre,paracentral R,4,14,28.57142857142857
proto1,pre,parahippocampal R,3,14,21.428571428571427
proto1,pre,parahippocampal L,2,14,14.285714285714285
proto1,pre,entorhinal R,3,14,21.428571428571427
proto1,pre,isthmuscingulate R,1,14,7.142857142857142
proto1,pre,supramarginal L,4,14,28.57142857142857
proto1,pre,cuneus R,3,14,21.428571428571427
proto1,pre,transversetemporal L,2,14,14.285714285714285
proto1,pre,transversetemporal R,1,14,7.142857142857142
proto1,stim,postcentral L,10,15,66.66666666666666
proto1,stim,parstriangularis L,11,15,73.33333333333333
proto1,stim,lingual R,7,15,46.666666666666664
proto1,stim,superiorfrontal L,14,15,93.33333333333333
proto1,stim,supramarginal L,4,15,26.666666666666668
proto1,stim,lateralorbitofrontal R,12,15,80.0
proto1,stim,parsopercularis L,6,15,40.0
proto1,stim,lingual L,6,15,40.0
proto1,stim,rostralmiddlefrontal L,14,15,93.33333333333333
proto1,stim,lateraloccipital L,7,15,46.666666666666664
proto1,stim,superiortemporal R,12,15,80.0
proto1,stim,rostralmiddlefrontal R,10,15,66.66666666666666
proto1,stim,superiorfrontal R,13,15,86.66666666666667
proto1,stim,insula L,4,15,26.666666666666668
proto1,stim,parsorbitalis L,8,15,53.333333333333336
proto1,stim,inferiorparietal R,10,15,66.66666666666666
proto1,stim,precentral L,10,15,66.66666666666666
proto1,stim,caudalmiddlefrontal L,8,15,53.333333333333336
proto1,stim,lateralorbitofrontal L,11,15,73.33333333333333
proto1,stim,precentral R,10,15,66.66666666666666
proto1,stim,middletemporal R,7,15,46.666666666666664
proto1,stim,parstriangularis R,10,15,66.66666666666666
proto1,stim,parsorbitalis R,7,15,46.666666666666664
proto1,stim,rostralanteriorcingulate R,6,15,40.0
proto1,stim,superiorparietal L,9,15,60.0
proto1,stim,inferiortemporal R,13,15,86.66666666666667
proto1,stim,caudalanteriorcingulate R,6,15,40.0
proto1,stim,caudalanteriorcingulate L,5,15,33.33333333333333
proto1,stim,transversetemporal L,1,15,6.666666666666667
proto1,stim,superiortemporal L,9,15,60.0
proto1,stim,medialorbitofrontal R,9,15,60.0
proto1,stim,medialorbitofrontal L,10,15,66.66666666666666
proto1,stim,caudalmiddlefrontal R,7,15,46.666666666666664
proto1,stim,superiorparietal R,7,15,46.666666666666664
proto1,stim,fusiform R,10,15,66.66666666666666
proto1,stim,middletemporal L,10,15,66.66666666666666
proto1,stim,rostralanteriorcingulate L,7,15,46.666666666666664
proto1,stim,precuneus R,8,15,53.333333333333336
proto1,stim,lateraloccipital R,12,15,80.0
proto1,stim,inferiorparietal L,7,15,46.666666666666664
proto1,stim,paracentral R,6,15,40.0
proto1,stim,entorhinal R,4,15,26.666666666666668
proto1,stim,inferiortemporal L,9,15,60.0
proto1,stim,postcentral R,8,15,53.333333333333336
proto1,stim,parsopercularis R,10,15,66.66666666666666
proto1,stim,fusiform L,3,15,20.0
proto1,stim,cuneus R,7,15,46.666666666666664
proto1,stim,paracentral L,8,15,53.333333333333336
proto1,stim,pericalcarine L,3,15,20.0
proto1,stim,insula R,5,15,33.33333333333333
proto1,stim,precuneus L,5,15,33.33333333333333
proto1,stim,supramarginal R,7,15,46.666666666666664
proto1,stim,posteriorcingulate R,3,15,20.0
proto1,stim,parahippocampal R,5,15,33.33333333333333
proto1,stim,entorhinal L,4,15,26.666666666666668
proto1,stim,isthmuscingulate R,3,15,20.0
proto1,stim,posteriorcingulate L,4,15,26.666666666666668
proto1,stim,cuneus L,5,15,33.33333333333333
proto1,stim,pericalcarine R,3,15,20.0
proto1,stim,isthmuscingulate L,3,15,20.0
proto1,stim,parahippocampal L,1,15,6.666666666666667
proto1,post,lingual R,20,41,48.78048780487805
proto1,post,lateralorbitofrontal L,33,41,80.48780487804879
proto1,post,middletemporal R,33,41,80.48780487804879
proto1,post,superiortemporal R,32,41,78.04878048780488
proto1,post,parahippocampal R,11,41,26.82926829268293
proto1,post,parsorbitalis R,17,41,41.46341463414634
proto1,post,parsorbitalis L,16,41,39.02439024390244
proto1,post,rostralanteriorcingulate R,23,41,56.09756097560976
proto1,post,superiorparietal L,22,41,53.65853658536586
proto1,post,inferiortemporal R,30,41,73.17073170731707
proto1,post,caudalanteriorcingulate R,19,41,46.34146341463415
proto1,post,lingual L,20,41,48.78048780487805
proto1,post,lateraloccipital L,31,41,75.60975609756098
proto1,post,rostralmiddlefrontal R,30,41,73.17073170731707
proto1,post,medialorbitofrontal L,29,41,70.73170731707317
proto1,post,parstriangularis L,24,41,58.536585365853654
proto1,post,superiorfrontal L,40,41,97.5609756097561
proto1,post,lateralorbitofrontal R,32,41,78.04878048780488
proto1,post,rostralmiddlefrontal L,32,41,78.04878048780488
proto1,post,insula L,14,41,34.146341463414636
proto1,post,precuneus L,13,41,31.70731707317073
proto1,post,inferiorparietal R,18,41,43.90243902439025
proto1,post,precentral L,26,41,63.41463414634146
proto1,post,fusiform R,23,41,56.09756097560976
proto1,post,insula R,18,41,43.90243902439025
proto1,post,parsopercularis L,15,41,36.58536585365854
proto1,post,superiorfrontal R,40,41,97.5609756097561
proto1,post,precuneus R,16,41,39.02439024390244
proto1,post,rostralanteriorcingulate L,22,41,53.65853658536586
proto1,post,lateraloccipital R,32,41,78.04878048780488
proto1,post,paracentral R,11,41,26.82926829268293
proto1,post,supramarginal R,14,41,34.146341463414636
proto1,post,paracentral L,11,41,26.82926829268293
proto1,post,posteriorcingulate R,5,41,12.195121951219512
proto1,post,parstriangularis R,18,41,43.90243902439025
proto1,post,postcentral R,24,41,58.536585365853654
proto1,post,superiortemporal L,23,41,56.09756097560976
proto1,post,caudalmiddlefrontal R,21,41,51.21951219512195
proto1,post,posteriorcingulate L,5,41,12.195121951219512
proto1,post,postcentral L,22,41,53.65853658536586
proto1,post,middletemporal L,30,41,73.17073170731707
proto1,post,fusiform L,22,41,53.65853658536586
proto1,post,inferiortemporal L,24,41,58.536585365853654
proto1,post,precentral R,25,41,60.97560975609756
proto1,post,caudalmiddlefrontal L,18,41,43.90243902439025
proto1,post,medialorbitofrontal R,23,41,56.09756097560976
proto1,post,cuneus L,11,41,26.82926829268293
proto1,post,parsopercularis R,16,41,39.02439024390244
proto1,post,supramarginal L,13,41,31.70731707317073
proto1,post,inferiorparietal L,21,41,51.21951219512195
proto1,post,superiorparietal R,16,41,39.02439024390244
proto1,post,cuneus R,13,41,31.70731707317073
proto1,post,entorhinal R,9,41,21.951219512195124
proto1,post,pericalcarine R,7,41,17.073170731707318
proto1,post,isthmuscingulate R,6,41,14.634146341463413
proto1,post,entorhinal L,9,41,21.951219512195124
proto1,post,parahippocampal L,10,41,24.390243902439025
proto1,post,pericalcarine L,5,41,12.195121951219512
proto1,post,caudalanteriorcingulate L,12,41,29.268292682926827
proto1,post,transversetemporal R,1,41,2.4390243902439024
proto1,post,transversetemporal L,1,41,2.4390243902439024
